core,gap_mm,T_C,a2_P,a2_P_ci95,a2_sigma,a2_sigma_ci95,curvature_excess
full,0.0,20,0.0138696,0.00757505,0.019291,0.00811934,0.00542144
full,0.0,40,0.0110366,0.00329957,0.0155322,0.00383091,0.00449565
full,0.0,60,0.00979057,0.00567935,0.0129352,0.00568234,0.0031446
full,0.0,80,0.00723039,0.00584809,0.00958942,0.00489442,0.00235903
full,0.0,100,0.00839085,0.00890549,0.0101919,0.00838894,0.00180105
full,0.0,120,0.00251672,0.00751041,0.00373494,0.00722899,0.00121823
gap017,0.17,20,0.0241966,0.00680824,0.0461983,0.0171362,0.0220018
gap017,0.17,40,0.0165586,0.00368049,0.0394331,0.017088,0.0228745
gap017,0.17,60,0.0122611,0.0117327,0.030535,0.0212161,0.0182739
gap017,0.17,80,0.00967868,0.0114176,0.0290515,0.0239944,0.0193728
gap017,0.17,100,0.0159042,0.00871031,0.0345913,0.014174,0.0186872
gap017,0.17,120,0.0166746,0.00805015,0.0356197,0.0112019,0.0189451
gap047,0.47,20,0.0684768,0.0278033,0.127139,0.00877159,0.0586625
gap047,0.47,40,0.0688431,0.0296449,0.126684,0.00822577,0.0578408
gap047,0.47,60,0.0833025,0.0393075,0.14365,0.0152003,0.060348
gap047,0.47,80,0.0600782,0.0326085,0.122133,0.0134621,0.0620544
gap047,0.47,100,0.0455061,0.0300477,0.103491,0.0120027,0.0579853
gap047,0.47,120,0.0770362,0.0449864,0.133807,0.0236861,0.0567706
