quantity,core,gap_mm,T_C,Bmax_T,b_lin,b_lin_se,ln_a_lin,ln_a_lin_se,r2_lin,a2,a2_se,a2_ci95,a1,a1_se,a1_ci95,a0,a0_se,a0_ci95,p_a2,r2_quad,dAIC,dAICc,leverage_50Hz,rms_lin_pct,max_lin_pct,rms_quad_pct,max_quad_pct
P,full,0.0,20,0.2,1.274,0.0115635,-12.3396,0.0926685,0.999588,0.0138696,0.00272833,0.00757505,1.07879,0.0386896,0.10742,-11.7166,0.12828,0.356161,0.007063,0.999945,12.067,0.067,0.9674,5.228,8.392,1.905,3.261
P,full,0.0,40,0.2,1.27092,0.00875898,-12.3681,0.0701936,0.999763,0.0110366,0.00118841,0.00329957,1.11558,0.0168525,0.0467902,-11.8723,0.0558764,0.155138,0.0007479,0.999989,19.814,7.814,0.9674,3.962,5.936,0.832,1.454
P,full,0.0,60,0.2,1.27749,0.00823244,-12.5955,0.0659739,0.999792,0.00979057,0.00204555,0.00567935,1.1397,0.0290073,0.0805372,-12.1558,0.0961769,0.26703,0.008735,0.999969,11.343,-0.657,0.9674,3.722,5.690,1.434,2.404
P,full,0.0,80,0.2,1.29223,0.00649233,-12.8509,0.0520289,0.999874,0.00723039,0.00210632,0.00584809,1.19047,0.0298691,0.08293,-12.5261,0.0990343,0.274963,0.02647,0.999968,7.609,-4.391,0.9674,2.921,4.533,1.487,2.999
P,full,0.0,100,0.2,1.29479,0.00819457,-13.0191,0.0656705,0.999800,0.00839085,0.00320751,0.00890549,1.17669,0.0454848,0.126286,-12.6422,0.15081,0.418715,0.05905,0.999926,4.981,-7.019,0.9674,3.676,5.835,2.275,4.636
P,full,0.0,120,0.2,1.29861,0.00462932,-13.2124,0.0370989,0.999936,0.00251672,0.00270504,0.00751041,1.26319,0.0383594,0.106503,-13.0994,0.127185,0.353122,0.4048,0.999948,-0.629,-12.629,0.9674,2.096,3.210,1.915,3.839
P,gap017,0.17,20,0.2,1.35886,0.0191545,-12.9821,0.153502,0.999007,0.0241966,0.00245214,0.00680824,1.01831,0.0347731,0.0965457,-11.8953,0.115294,0.320107,0.0005918,0.999961,20.627,8.627,0.9674,8.784,13.098,1.712,3.479
P,gap017,0.17,40,0.2,1.38829,0.0130105,-13.2788,0.104265,0.999561,0.0165586,0.00132561,0.00368049,1.15524,0.0187981,0.052192,-12.5351,0.0623272,0.173048,0.0002363,0.999989,23.824,11.824,0.9674,5.887,8.529,0.934,1.914
P,gap017,0.17,60,0.2,1.41289,0.0115537,-13.5478,0.0925898,0.999666,0.0122611,0.00422581,0.0117327,1.24032,0.0599249,0.166378,-12.997,0.198687,0.551645,0.04405,0.999892,5.930,-6.070,0.9674,5.292,9.383,2.965,4.920
P,gap017,0.17,80,0.2,1.42584,0.00985418,-13.6706,0.0789704,0.999761,0.00967868,0.00411232,0.0114176,1.28962,0.0583156,0.16191,-13.2359,0.193352,0.53683,0.07821,0.999900,4.084,-7.916,0.9674,4.567,9.254,2.894,5.502
