quantity,core,gap_mm,model,rms_resid_pct,max_resid_pct,daicc_vs_extended_median,daicc_vs_extended_min,daicc_vs_extended_max,extended_preferred_of_6
P_loss,full,0.0,power law,3.73,8.39,-2.52,-12.63,7.81,2
P_loss,full,0.0,two-term,21.09,35.41,22.64,18.25,30.34,6
P_loss,full,0.0,bertotti,7.08,11.15,21.66,14.72,28.07,6
P_loss,full,0.0,extended,1.70,4.64,0.00,0.00,0.00,0
P_loss,gap017,0.17,power law,6.26,13.10,0.81,-7.92,11.82,4
P_loss,gap017,0.17,two-term,24.45,43.35,20.22,16.57,31.39,6
P_loss,gap017,0.17,bertotti,2.69,6.51,2.84,-3.53,11.19,4
P_loss,gap017,0.17,extended,2.23,5.50,0.00,0.00,0.00,0
P_loss,gap047,0.47,power law,25.81,60.84,1.01,-2.17,3.79,4
P_loss,gap047,0.47,two-term,14.05,27.70,-7.90,-11.90,-1.69,0
P_loss,gap047,0.47,bertotti,9.80,22.43,1.37,-0.12,2.51,5
P_loss,gap047,0.47,extended,8.92,22.17,0.00,0.00,0.00,0
sigma_eff,full,0.0,power law,4.82,10.71,1.84,-11.09,10.41,4
sigma_eff,full,0.0,two-term,20.76,35.21,22.75,16.84,27.88,6
sigma_eff,full,0.0,bertotti,6.06,10.41,20.17,8.46,23.04,6
sigma_eff,full,0.0,extended,1.67,4.35,0.00,0.00,0.00,0
sigma_eff,gap017,0.17,power law,13.98,27.08,3.31,-4.61,7.14,4
sigma_eff,gap017,0.17,two-term,20.48,40.83,6.22,3.88,13.57,6
sigma_eff,gap017,0.17,bertotti,4.56,11.62,-0.07,-0.57,0.06,1
sigma_eff,gap017,0.17,extended,4.60,11.79,0.00,0.00,0.00,0
sigma_eff,gap047,0.47,power law,49.70,112.74,21.79,14.95,28.89,6
sigma_eff,gap047,0.47,two-term,13.83,27.61,5.63,-0.39,10.94,5
sigma_eff,gap047,0.47,bertotti,13.83,27.61,19.63,13.61,24.94,6
sigma_eff,gap047,0.47,extended,3.64,9.50,0.00,0.00,0.00,0
