core,gap_mm,T_C,f_min_Hz,sigma_min_S_per_m,sigma_20kHz_S_per_m,rise_to_20kHz_pct
full,0.0,20,20000,111.786,111.786,0.00
full,0.0,40,20000,101.681,101.681,0.00
full,0.0,60,20000,83.3256,83.3256,0.00
full,0.0,80,20000,71.2831,71.2831,0.00
full,0.0,100,20000,60.612,60.612,0.00
full,0.0,120,20000,50.4256,50.4256,0.00
gap017,0.17,20,15000,200.884,205.283,2.19
gap017,0.17,40,20000,194.111,194.111,0.00
gap017,0.17,60,15000,174.718,182.363,4.38
gap017,0.17,80,15000,172.947,186.599,7.89
gap017,0.17,100,20000,170.873,170.873,0.00
gap017,0.17,120,20000,170.874,170.874,0.00
gap047,0.47,20,5000,671.126,794.661,18.41
gap047,0.47,40,5000,625.341,754.806,20.70
gap047,0.47,60,5000,585.464,733.503,25.29
gap047,0.47,80,5000,564.395,700.11,24.05
gap047,0.47,100,5000,531.113,677.363,27.54
gap047,0.47,120,5000,527.641,648.321,22.87
